premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2
The pond froze over for the winter.,People brought boats to the pond.,People skated on the pond.,effect,,2,1,train,"the pond froze over for the winter.
what was the effect?
(a) people brought boats to the pond
(b) people skated on the pond",people skated on the pond,copa,people brought boats to the pond,people skated on the pond
I called several realtors.,I was hunting for a new apartment.,I was moving out of my apartment.,cause,,1,0,train,"i called several realtors.
what was the cause?
(a) i was hunting for a new apartment
(b) i was moving out of my apartment",i was hunting for a new apartment,copa,i was hunting for a new apartment,i was moving out of my apartment
The motorcyclist let go of the throttle.,The motorcycle coasted to a halt.,The motorcycle shot forward.,effect,,1,0,train,"the motorcyclist let go of the throttle.
what was the effect?
(a) the motorcycle coasted to a halt
(b) the motorcycle shot forward",the motorcycle coasted to a halt,copa,the motorcycle coasted to a halt,the motorcycle shot forward
The climbers reached the peak of the mountain.,They congratulated each other.,They encountered an avalanche.,effect,,1,0,train,"the climbers reached the peak of the mountain.
what was the effect?
(a) they congratulated each other
(b) they encountered an avalanche",they congratulated each other,copa,they congratulated each other,they encountered an avalanche
The girl pushed her friend.,Her friend choked.,Her friend fell over.,effect,,2,1,train,"the girl pushed her friend.
what was the effect?
(a) her friend choked
(b) her friend fell over",her friend fell over,copa,her friend choked,her friend fell over
The girl met her favorite actor.,She asked him for his autograph.,She went to see his new film.,effect,,1,0,train,"the girl met her favorite actor.
what was the effect?
(a) she asked him for his autograph
(b) she went to see his new film",she asked him for his autograph,copa,she asked him for his autograph,she went to see his new film
The people carried the umbrellas.,It was cloudy.,It was foggy.,cause,,1,0,train,"the people carried the umbrellas.
what was the cause?
(a) it was cloudy
(b) it was foggy",it was cloudy,copa,it was cloudy,it was foggy
The school principal effected the honor code.,Students were expelled from school.,Students protested the decision.,effect,,1,0,train,"the school principal effected the honor code.
what was the effect?
(a) students were expelled from school
(b) students protested the decision",students were expelled from school,copa,students were expelled from school,students protested the decision
I pushed the wagon.,The wagon wheels spun forward.,The objects in the wagon fell out.,effect,,1,0,train,"i pushed the wagon.
what was the effect?
(a) the wagon wheels spun forward
(b) the objects in the wagon fell out",the wagon wheels spun forward,copa,the wagon wheels spun forward,the objects in the wagon fell out
I tossed the ball forward.,The ball hit the ceiling.,The ball rolled across the ground.,effect,,2,1,train,"i tossed the ball forward.
what was the effect?
(a) the ball hit the ceiling
(b) the ball rolled across the ground",the ball rolled across the ground,copa,the ball hit the ceiling,the ball rolled across the ground
The man turned on the faucet.,Water flowed from the spout.,The toilet filled with water.,effect,,1,0,train,"the man turned on the faucet.
what was the effect?
(a) water flowed from the spout
(b) the toilet filled with water",water flowed from the spout,copa,water flowed from the spout,the toilet filled with water
The boy painted a picture for his mother.,His mother sold the picture to a gallery.,His mother hung the picture on the wall.,effect,,2,1,train,"the boy painted a picture for his mother.
what was the effect?
(a) his mother sold the picture to a gallery
(b) his mother hung the picture on the wall",his mother hung the picture on the wall,copa,his mother sold the picture to a gallery,his mother hung the picture on the wall
I tossed the ball upwards.,The ball hit the ceiling.,The ball rolled across the ground.,effect,,1,0,train,"i tossed the ball upwards.
what was the effect?
(a) the ball hit the ceiling
(b) the ball rolled across the ground",the ball hit the ceiling,copa,the ball hit the ceiling,the ball rolled across the ground
The truck crashed into the motorcycle on the bridge.,The motorcyclist died.,The bridge collapsed.,effect,,1,0,train,"the truck crashed into the motorcycle on the bridge.
what was the effect?
(a) the motorcyclist died
(b) the bridge collapsed",the motorcyclist died,copa,the motorcyclist died,the bridge collapsed
The photographer could not see the child's face.,The photographer quickly changed the child's pose.,The photographer quickly snapped the child's photo.,effect,,1,0,train,"the photographer could not see the child's face.
what was the effect?
(a) the photographer quickly changed the childs pose
(b) the photographer quickly snapped the childs photo",the photographer quickly changed the childs pose,copa,the photographer quickly changed the childs pose,the photographer quickly snapped the childs photo
The inside of the train became destroyed.,The train ran off the tracks.,The train travelled through a tunnel.,cause,,1,0,train,"the inside of the train became destroyed.
what was the cause?
(a) the train ran off the tracks
(b) the train travelled through a tunnel",the train ran off the tracks,copa,the train ran off the tracks,the train travelled through a tunnel
The hunter ran out of ammunition.,He reloaded the gun.,He aimed at the deer.,effect,,1,0,train,"the hunter ran out of ammunition.
what was the effect?
(a) he reloaded the gun
(b) he aimed at the deer",he reloaded the gun,copa,he reloaded the gun,he aimed at the deer
The audience applauded the comedian on stage.,He entertained the audience.,He told a racist joke.,cause,,1,0,train,"the audience applauded the comedian on stage.
what was the cause?
(a) he entertained the audience
(b) he told a racist joke",he entertained the audience,copa,he entertained the audience,he told a racist joke
I shot the rubber band.,It stretched.,It flung across the room.,effect,,2,1,train,"i shot the rubber band.
what was the effect?
(a) it stretched
(b) it flung across the room",it flung across the room,copa,it stretched,it flung across the room
The police kept the woman on the list of suspects.,Her alibi checked out.,The police interrogated her.,cause,,2,1,train,"the police kept the woman on the list of suspects.
what was the cause?
(a) her alibi checked out
(b) the police interrogated her",the police interrogated her,copa,her alibi checked out,the police interrogated her
The sun was coming through the window.,The blinds were open.,The glass was stained.,cause,,1,0,train,"the sun was coming through the window.
what was the cause?
(a) the blinds were open
(b) the glass was stained",the blinds were open,copa,the blinds were open,the glass was stained
The woman ran her finger under cold water.,She burned her finger on the toaster.,She put a diamond ring on her finger.,cause,,1,0,train,"the woman ran her finger under cold water.
what was the cause?
(a) she burned her finger on the toaster
(b) she put a diamond ring on her finger",she burned her finger on the toaster,copa,she burned her finger on the toaster,she put a diamond ring on her finger
The woman's brother did not like the gift.,Her brother unwrapped the gift.,Her brother refused to accept the gift.,effect,,2,1,train,"the woman's brother did not like the gift.
what was the effect?
(a) her brother unwrapped the gift
(b) her brother refused to accept the gift",her brother refused to accept the gift,copa,her brother unwrapped the gift,her brother refused to accept the gift
The homeowners liked their neighbors.,They built a fence around their property.,They hosted a barbeque in their backyard.,effect,,2,1,train,"the homeowners liked their neighbors.
what was the effect?
(a) they built a fence around their property
(b) they hosted a barbeque in their backyard",they hosted a barbeque in their backyard,copa,they built a fence around their property,they hosted a barbeque in their backyard
The baby was wailing in his crib.,The mother picked up the baby.,The baby crawled to the mother.,effect,,1,0,train,"the baby was wailing in his crib.
what was the effect?
(a) the mother picked up the baby
(b) the baby crawled to the mother",the mother picked up the baby,copa,the mother picked up the baby,the baby crawled to the mother
The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,The thread wrapped around the needle.,effect,,1,0,train,"the seamstress pushed the threaded needle into the fabric.
what was the effect?
(a) the thread went through the fabric
(b) the thread wrapped around the needle",the thread went through the fabric,copa,the thread went through the fabric,the thread wrapped around the needle
An awful song came on the radio.,I covered my ears.,I sang along to it.,effect,,1,0,train,"an awful song came on the radio.
what was the effect?
(a) i covered my ears
(b) i sang along to it",i covered my ears,copa,i covered my ears,i sang along to it
The man craved a cigarette.,His family urged him to quit smoking.,He was addicted to nicotine.,cause,,2,1,train,"the man craved a cigarette.
what was the cause?
(a) his family urged him to quit smoking
(b) he was addicted to nicotine",he was addicted to nicotine,copa,his family urged him to quit smoking,he was addicted to nicotine
My friend had to go for a health checkup.,I brought her a card and flowers.,I dropped her off at the hospital.,effect,,2,1,train,"my friend had to go for a health checkup.
what was the effect?
(a) i brought her a card and flowers
(b) i dropped her off at the hospital",i dropped her off at the hospital,copa,i brought her a card and flowers,i dropped her off at the hospital
The boat capsized.,It was caught in a hurricane.,The captain raised the sail.,cause,,1,0,train,"the boat capsized.
what was the cause?
(a) it was caught in a hurricane
(b) the captain raised the sail",it was caught in a hurricane,copa,it was caught in a hurricane,the captain raised the sail
The beach ball bounced.,There was a hole in it.,It was inflated.,cause,,2,1,train,"the beach ball bounced.
what was the cause?
(a) there was a hole in it
(b) it was inflated",it was inflated,copa,there was a hole in it,it was inflated
The teacher wanted to grade the students.,She gave her students a pop quiz.,She identified the students that were absent.,effect,,1,0,train,"the teacher wanted to grade the students.
what was the effect?
(a) she gave her students a pop quiz
(b) she identified the students that were absent",she gave her students a pop quiz,copa,she gave her students a pop quiz,she identified the students that were absent
I spilled glue on the wood.,The wood became sticky.,The wood became smooth.,effect,,1,0,train,"i spilled glue on the wood.
what was the effect?
(a) the wood became sticky
(b) the wood became smooth",the wood became sticky,copa,the wood became sticky,the wood became smooth
The coach gave his player a high five.,The player got a penalty.,The player scored a point.,cause,,2,1,train,"the coach gave his player a high five.
what was the cause?
(a) the player got a penalty
(b) the player scored a point",the player scored a point,copa,the player got a penalty,the player scored a point
The girl was thirsty.,Her father took away her dessert.,Her father told her to drink her milk.,effect,,2,1,train,"the girl was thirsty.
what was the effect?
(a) her father took away her dessert
(b) her father told her to drink her milk",her father told her to drink her milk,copa,her father took away her dessert,her father told her to drink her milk
The customer thought the souvenir was overpriced.,The vender sold it to him.,He bargained with the vendor.,effect,,2,1,train,"the customer thought the souvenir was overpriced.
what was the effect?
(a) the vender sold it to him
(b) he bargained with the vendor",he bargained with the vendor,copa,the vender sold it to him,he bargained with the vendor
I moved to a new city.,My son was born.,I found a better-paying job.,cause,,2,1,train,"i moved to a new city.
what was the cause?
(a) my son was born
(b) i found a betterpaying job",i found a betterpaying job,copa,my son was born,i found a betterpaying job
The man's eye became infected.,He went blind.,He put on glasses.,effect,,1,0,train,"the man's eye became infected.
what was the effect?
(a) he went blind
(b) he put on glasses",he went blind,copa,he went blind,he put on glasses
The driver check her rear mirror for cyclists.,Another car swerved into her lane.,She made a right turn at the light.,cause,,2,1,train,"the driver check her rear mirror for cyclists.
what was the cause?
(a) another car swerved into her lane
(b) she made a right turn at the light",she made a right turn at the light,copa,another car swerved into her lane,she made a right turn at the light
The woman contacted the real estate agent.,The woman planned to buy a condo.,The woman needed to clean her house.,cause,,1,0,train,"the woman contacted the real estate agent.
what was the cause?
(a) the woman planned to buy a condo
(b) the woman needed to clean her house",the woman planned to buy a condo,copa,the woman planned to buy a condo,the woman needed to clean her house
The mother suspected that her son was lying.,He refused to talk to her.,He avoided making eye contact with her.,cause,,2,1,train,"the mother suspected that her son was lying.
what was the cause?
(a) he refused to talk to her
(b) he avoided making eye contact with her",he avoided making eye contact with her,copa,he refused to talk to her,he avoided making eye contact with her
The friend was anggry at the man.,He turned down his friend's invitation to go.,He promised his friend that he would go.,cause,,1,0,train,"the friend was anggry at the man.
what was the cause?
(a) he turned down his friends invitation to go
(b) he promised his friend that he would go",he turned down his friends invitation to go,copa,he turned down his friends invitation to go,he promised his friend that he would go
The man got a discount on his groceries.,He greeted the cashier.,He used a coupon.,cause,,2,1,train,"the man got a discount on his groceries.
what was the cause?
(a) he greeted the cashier
(b) he used a coupon",he used a coupon,copa,he greeted the cashier,he used a coupon
My computer crashed.,I installed new speakers.,I lost all my data.,effect,,2,1,train,"my computer crashed.
what was the effect?
(a) i installed new speakers
(b) i lost all my data",i lost all my data,copa,i installed new speakers,i lost all my data
I ironed my shirt.,It was wrinkled.,It was clean.,cause,,1,0,train,"i ironed my shirt.
what was the cause?
(a) it was wrinkled
(b) it was clean",it was wrinkled,copa,it was wrinkled,it was clean
The audience booed the comedian off the stage.,He entertained the audience.,He told a racist joke.,cause,,2,1,train,"the audience booed the comedian off the stage.
what was the cause?
(a) he entertained the audience
(b) he told a racist joke",he told a racist joke,copa,he entertained the audience,he told a racist joke
My subscription to the magazine expired.,I discarded the new issue.,I stopped receiving new issues.,effect,,2,1,train,"my subscription to the magazine expired.
what was the effect?
(a) i discarded the new issue
(b) i stopped receiving new issues",i stopped receiving new issues,copa,i discarded the new issue,i stopped receiving new issues
The woman shivered as she got out the pool.,She wrapped herself in a towel.,She poured herself some lemonade.,effect,,1,0,train,"the woman shivered as she got out the pool.
what was the effect?
(a) she wrapped herself in a towel
(b) she poured herself some lemonade",she wrapped herself in a towel,copa,she wrapped herself in a towel,she poured herself some lemonade
The drived pressed on the brakes.,The car halted.,The car turned.,effect,,1,0,train,"the drived pressed on the brakes.
what was the effect?
(a) the car halted
(b) the car turned",the car halted,copa,the car halted,the car turned
The stranger cried out to me in a foreign language.,I stopped to chat with him.,I stared blankly at him.,effect,,2,1,train,"the stranger cried out to me in a foreign language.
what was the effect?
(a) i stopped to chat with him
(b) i stared blankly at him",i stared blankly at him,copa,i stopped to chat with him,i stared blankly at him
My daughter suffered an allergy attack.,I took her to the emergency room.,I encouraged her to take deep breaths.,effect,,1,0,train,"my daughter suffered an allergy attack.
what was the effect?
(a) i took her to the emergency room
(b) i encouraged her to take deep breaths",i took her to the emergency room,copa,i took her to the emergency room,i encouraged her to take deep breaths
The putrid odor filled the room.,I clamped my hand over my nose.,I put the rubber gloves on.,effect,,1,0,train,"the putrid odor filled the room.
what was the effect?
(a) i clamped my hand over my nose
(b) i put the rubber gloves on",i clamped my hand over my nose,copa,i clamped my hand over my nose,i put the rubber gloves on
The book was deemed appropriate for children.,Teachers required students to read it.,Schools banned it from its libraries.,effect,,1,0,train,"the book was deemed appropriate for children.
what was the effect?
(a) teachers required students to read it
(b) schools banned it from its libraries",teachers required students to read it,copa,teachers required students to read it,schools banned it from its libraries
The man was lost.,He asked for directions.,He drew a map.,effect,,1,0,train,"the man was lost.
what was the effect?
(a) he asked for directions
(b) he drew a map",he asked for directions,copa,he asked for directions,he drew a map
My view of the movie screen was blocked.,The couple behind me was whispering.,A tall person was sitting in front of me.,cause,,2,1,train,"my view of the movie screen was blocked.
what was the cause?
(a) the couple behind me was whispering
(b) a tall person was sitting in front of me",a tall person was sitting in front of me,copa,the couple behind me was whispering,a tall person was sitting in front of me
The computer was expensive to fix.,I bought a new one.,I got it repaired.,effect,,1,0,train,"the computer was expensive to fix.
what was the effect?
(a) i bought a new one
(b) i got it repaired",i bought a new one,copa,i bought a new one,i got it repaired
The woman asked the man to leave.,He insulted her.,He thanked her.,cause,,1,0,train,"the woman asked the man to leave.
what was the cause?
(a) he insulted her
(b) he thanked her",he insulted her,copa,he insulted her,he thanked her
The water in tank was dirty.,I poured it out.,I blew on it.,effect,,1,0,train,"the water in tank was dirty.
what was the effect?
(a) i poured it out
(b) i blew on it",i poured it out,copa,i poured it out,i blew on it
The girl turned down the hill on her bike.,Her bike sped up.,Her bike swerved.,effect,,2,1,train,"the girl turned down the hill on her bike.
what was the effect?
(a) her bike sped up
(b) her bike swerved",her bike swerved,copa,her bike sped up,her bike swerved
The hamburger meat browned.,The cook froze it.,The cook grilled it.,cause,,2,1,train,"the hamburger meat browned.
what was the cause?
(a) the cook froze it
(b) the cook grilled it",the cook grilled it,copa,the cook froze it,the cook grilled it
We ordered a pizza.,The pizza got cold.,The pizza was delivered.,effect,,2,1,train,"we ordered a pizza.
what was the effect?
(a) the pizza got cold
(b) the pizza was delivered",the pizza was delivered,copa,the pizza got cold,the pizza was delivered
The man never noticed the woman.,He had his back turned to her.,He caught a whiff of her perfume.,cause,,1,0,train,"the man never noticed the woman.
what was the cause?
(a) he had his back turned to her
(b) he caught a whiff of her perfume",he had his back turned to her,copa,he had his back turned to her,he caught a whiff of her perfume
I saw a scary movie.,I was tired in the morning.,I had vivid dreams that night.,effect,,2,1,train,"i saw a scary movie.
what was the effect?
(a) i was tired in the morning
(b) i had vivid dreams that night",i had vivid dreams that night,copa,i was tired in the morning,i had vivid dreams that night
My car was rejuvenated.,I parked illegally.,I jumped the battery.,cause,,2,1,train,"my car was rejuvenated.
what was the cause?
(a) i parked illegally
(b) i jumped the battery",i jumped the battery,copa,i parked illegally,i jumped the battery
The man broke his toe.,He got a hole in his sock.,He dropped a hammer on his foot.,cause,,2,1,train,"the man broke his toe.
what was the cause?
(a) he got a hole in his sock
(b) he dropped a hammer on his foot",he dropped a hammer on his foot,copa,he got a hole in his sock,he dropped a hammer on his foot
The man wanted to spend money.,He cut back on making frivolous purchases.,He withdrew money from his savings account.,effect,,2,1,train,"the man wanted to spend money.
what was the effect?
(a) he cut back on making frivolous purchases
(b) he withdrew money from his savings account",he withdrew money from his savings account,copa,he cut back on making frivolous purchases,he withdrew money from his savings account
The boy had trouble buttoning his shirt.,He refused to wear the shirt.,He asked his mother for help.,effect,,2,1,train,"the boy had trouble buttoning his shirt.
what was the effect?
(a) he refused to wear the shirt
(b) he asked his mother for help",he asked his mother for help,copa,he refused to wear the shirt,he asked his mother for help
The young woman entered the bar alone.,Her friends stood her up.,She forgot her ID.,cause,,1,0,train,"the young woman entered the bar alone.
what was the cause?
(a) her friends stood her up
(b) she forgot her id",her friends stood her up,copa,her friends stood her up,she forgot her id
The benefactor looked extremely excited.,He supported the cause behind his donation.,He wanted to maintain his privacy.,cause,,1,0,train,"the benefactor looked extremely excited.
what was the cause?
(a) he supported the cause behind his donation
(b) he wanted to maintain his privacy",he supported the cause behind his donation,copa,he supported the cause behind his donation,he wanted to maintain his privacy
The shop was closed.,The shop was undergoing renovation.,The owner was helping customers.,cause,,1,0,train,"the shop was closed.
what was the cause?
(a) the shop was undergoing renovation
(b) the owner was helping customers",the shop was undergoing renovation,copa,the shop was undergoing renovation,the owner was helping customers
I pulled apart the candy wrapper with my hands.,The wrapper ripped.,The wrapper crinkled.,effect,,1,0,train,"i pulled apart the candy wrapper with my hands.
what was the effect?
(a) the wrapper ripped
(b) the wrapper crinkled",the wrapper ripped,copa,the wrapper ripped,the wrapper crinkled
The product was heavily advertised.,The product became outdated.,Consumers recognized the product.,effect,,2,1,train,"the product was heavily advertised.
what was the effect?
(a) the product became outdated
(b) consumers recognized the product",consumers recognized the product,copa,the product became outdated,consumers recognized the product
The woman was an alcoholic.,She checked into rehab.,She committed assault.,cause,,1,0,train,"the woman was an alcoholic.
what was the cause?
(a) she checked into rehab
(b) she committed assault",she checked into rehab,copa,she checked into rehab,she committed assault
The teacher praised the pair of students.,The students both received excellent grades.,Their responses on the assignment were identical.,cause,,1,0,train,"the teacher praised the pair of students.
what was the cause?
(a) the students both received excellent grades
(b) their responses on the assignment were identical",the students both received excellent grades,copa,the students both received excellent grades,their responses on the assignment were identical
The farmland got heavy rain.,A canal was constructed.,A flood occurred.,effect,,2,1,train,"the farmland got heavy rain.
what was the effect?
(a) a canal was constructed
(b) a flood occurred",a flood occurred,copa,a canal was constructed,a flood occurred
The water in the teapot started to boil.,The teapot whistled.,The teapot cooled.,effect,,1,0,train,"the water in the teapot started to boil.
what was the effect?
(a) the teapot whistled
(b) the teapot cooled",the teapot whistled,copa,the teapot whistled,the teapot cooled
I paid for friend's my ticket.,I paid her back.,I sought a refund.,effect,,2,1,train,"i paid for friend's my ticket.
what was the effect?
(a) i paid her back
(b) i sought a refund",i sought a refund,copa,i paid her back,i sought a refund
The flame on the candle went out.,I put a match to the wick.,I blew on the wick.,cause,,2,1,train,"the flame on the candle went out.
what was the cause?
(a) i put a match to the wick
(b) i blew on the wick",i blew on the wick,copa,i put a match to the wick,i blew on the wick
The sick child coughed on his friend.,His friend got sick.,His friend sneezed.,effect,,1,0,train,"the sick child coughed on his friend.
what was the effect?
(a) his friend got sick
(b) his friend sneezed",his friend got sick,copa,his friend got sick,his friend sneezed
My stomach growled.,I was full from breakfast.,I forgot to eat breakfast.,cause,,2,1,train,"my stomach growled.
what was the cause?
(a) i was full from breakfast
(b) i forgot to eat breakfast",i forgot to eat breakfast,copa,i was full from breakfast,i forgot to eat breakfast
The girl was not lonely anymore.,She made a new friend.,She won a spelling bee.,cause,,1,0,train,"the girl was not lonely anymore.
what was the cause?
(a) she made a new friend
(b) she won a spelling bee",she made a new friend,copa,she made a new friend,she won a spelling bee
The boy started crying loudly.,His brother kicked him.,His brother tickled him.,cause,,1,0,train,"the boy started crying loudly.
what was the cause?
(a) his brother kicked him
(b) his brother tickled him",his brother kicked him,copa,his brother kicked him,his brother tickled him
The woman spoke with a foreign accent.,She came from a wealthy family.,She migrated from another country.,cause,,2,1,train,"the woman spoke with a foreign accent.
what was the cause?
(a) she came from a wealthy family
(b) she migrated from another country",she migrated from another country,copa,she came from a wealthy family,she migrated from another country
The woman was arrested.,She committed assault.,She checked into rehab.,cause,,1,0,train,"the woman was arrested.
what was the cause?
(a) she committed assault
(b) she checked into rehab",she committed assault,copa,she committed assault,she checked into rehab
I pulled the rubber band.,It stretched.,It flung across the room.,effect,,1,0,train,"i pulled the rubber band.
what was the effect?
(a) it stretched
(b) it flung across the room",it stretched,copa,it stretched,it flung across the room
I received someone's package in the mail.,I took the package to the post office.,The package triggered my curiosity.,effect,,1,0,train,"i received someone's package in the mail.
what was the effect?
(a) i took the package to the post office
(b) the package triggered my curiosity",i took the package to the post office,copa,i took the package to the post office,the package triggered my curiosity
The woman felt extremely fatigued.,She grabbed the doorknob.,She pounded on the door.,cause,,2,1,train,"the woman felt extremely fatigued.
what was the cause?
(a) she grabbed the doorknob
(b) she pounded on the door",she pounded on the door,copa,she grabbed the doorknob,she pounded on the door
The student's answer on the exam was extraordinary.,The teacher subtracted points off the student's grade.,The teacher added bonus points to the student's grade.,effect,,2,1,train,"the student's answer on the exam was extraordinary.
what was the effect?
(a) the teacher subtracted points off the students grade
(b) the teacher added bonus points to the students grade",the teacher added bonus points to the students grade,copa,the teacher subtracted points off the students grade,the teacher added bonus points to the students grade
Air pollution in the city worsened.,Factories increased their production.,Factories shut down.,cause,,1,0,train,"air pollution in the city worsened.
what was the cause?
(a) factories increased their production
(b) factories shut down",factories increased their production,copa,factories increased their production,factories shut down
The child sprinkled pepper in his friend's face.,His friend sneezed.,His friend got sick.,effect,,1,0,train,"the child sprinkled pepper in his friend's face.
what was the effect?
(a) his friend sneezed
(b) his friend got sick",his friend sneezed,copa,his friend sneezed,his friend got sick
The children knocked over a lamp.,They had a pillow fight.,They jumped on the bed.,cause,,1,0,train,"the children knocked over a lamp.
what was the cause?
(a) they had a pillow fight
(b) they jumped on the bed",they had a pillow fight,copa,they had a pillow fight,they jumped on the bed
My mind was full of paintings.,I went to a concert.,I went to a museum.,cause,,2,1,train,"my mind was full of paintings.
what was the cause?
(a) i went to a concert
(b) i went to a museum",i went to a museum,copa,i went to a concert,i went to a museum
The man bought more than he could afford.,He owed money.,He became rich.,effect,,1,0,train,"the man bought more than he could afford.
what was the effect?
(a) he owed money
(b) he became rich",he owed money,copa,he owed money,he became rich
The girl found the missing puzzle piece.,She took apart the puzzle.,She completed the puzzle.,effect,,2,1,train,"the girl found the missing puzzle piece.
what was the effect?
(a) she took apart the puzzle
(b) she completed the puzzle",she completed the puzzle,copa,she took apart the puzzle,she completed the puzzle
The garden looked well-groomed.,The grass was cut.,The sun was rising.,cause,,1,0,train,"the garden looked well-groomed.
what was the cause?
(a) the grass was cut
(b) the sun was rising",the grass was cut,copa,the grass was cut,the sun was rising
The runner wore shorts.,She planned to run along the beach.,The forecast predicted high temperatures.,cause,,2,1,train,"the runner wore shorts.
what was the cause?
(a) she planned to run along the beach
(b) the forecast predicted high temperatures",the forecast predicted high temperatures,copa,she planned to run along the beach,the forecast predicted high temperatures
The woman acquired an additional qualification for her job.,She believed her superiors were acting unethically.,She aspired to hold an executive position in the firm.,cause,,2,1,train,"the woman acquired an additional qualification for her job.
what was the cause?
(a) she believed her superiors were acting unethically
(b) she aspired to hold an executive position in the firm",she aspired to hold an executive position in the firm,copa,she believed her superiors were acting unethically,she aspired to hold an executive position in the firm
My daughter suffered an panic attack.,I encouraged her to take deep breaths.,I took her to the emergency room.,effect,,1,0,train,"my daughter suffered an panic attack.
what was the effect?
(a) i encouraged her to take deep breaths
(b) i took her to the emergency room",i encouraged her to take deep breaths,copa,i encouraged her to take deep breaths,i took her to the emergency room
The woman was not arrested by police.,The woman escaped.,The woman waved.,cause,,1,0,train,"the woman was not arrested by police.
what was the cause?
(a) the woman escaped
(b) the woman waved",the woman escaped,copa,the woman escaped,the woman waved
The papers were disorganized.,I made photocopies of them.,I put them into alphabetical order.,effect,,2,1,train,"the papers were disorganized.
what was the effect?
(a) i made photocopies of them
(b) i put them into alphabetical order",i put them into alphabetical order,copa,i made photocopies of them,i put them into alphabetical order
The host served nothing to his guests.,His guests went hungry.,His guests were gracious.,effect,,1,0,train,"the host served nothing to his guests.
what was the effect?
(a) his guests went hungry
(b) his guests were gracious",his guests went hungry,copa,his guests went hungry,his guests were gracious
I put ice cubes in the hot soup.,The soup became thick.,The soup cooled down.,effect,,2,1,train,"i put ice cubes in the hot soup.
what was the effect?
(a) the soup became thick
(b) the soup cooled down",the soup cooled down,copa,the soup became thick,the soup cooled down
The woman repaired her faucet.,The faucet was leaky.,The faucet was turned off.,cause,,1,0,train,"the woman repaired her faucet.
what was the cause?
(a) the faucet was leaky
(b) the faucet was turned off",the faucet was leaky,copa,the faucet was leaky,the faucet was turned off
The farmland needed irrigation.,A flood occurred.,A canal was constructed.,effect,,2,1,train,"the farmland needed irrigation.
what was the effect?
(a) a flood occurred
(b) a canal was constructed",a canal was constructed,copa,a flood occurred,a canal was constructed
The woman contacted the maid service.,The woman needed to clean her house.,The woman planned to buy a condo.,cause,,1,0,train,"the woman contacted the maid service.
what was the cause?
(a) the woman needed to clean her house
(b) the woman planned to buy a condo",the woman needed to clean her house,copa,the woman needed to clean her house,the woman planned to buy a condo
The bully stuck his foot out in front of his classmate.,The bully picked up his classmate.,The bully's classmate tripped.,effect,,2,1,train,"the bully stuck his foot out in front of his classmate.
what was the effect?
(a) the bully picked up his classmate
(b) the bullys classmate tripped",the bullys classmate tripped,copa,the bully picked up his classmate,the bullys classmate tripped
The boy read the novel aloud to his grandfather.,His grandfather was deaf.,His grandfather was blind.,cause,,2,1,train,"the boy read the novel aloud to his grandfather.
what was the cause?
(a) his grandfather was deaf
(b) his grandfather was blind",his grandfather was blind,copa,his grandfather was deaf,his grandfather was blind
The swimmer won the race.,Her team lost the meet.,She received a gold medal.,effect,,2,1,train,"the swimmer won the race.
what was the effect?
(a) her team lost the meet
(b) she received a gold medal",she received a gold medal,copa,her team lost the meet,she received a gold medal
The cowgirl missed her lasso towards the horse.,The horse trotted into the barn.,The lasso grabbed onto the horse.,effect,,1,0,train,"the cowgirl missed her lasso towards the horse.
what was the effect?
(a) the horse trotted into the barn
(b) the lasso grabbed onto the horse",the horse trotted into the barn,copa,the horse trotted into the barn,the lasso grabbed onto the horse
The seamstress guided the thread through the eye of the needle.,The thread went through the fabric.,The thread wrapped around the needle.,effect,,2,1,train,"the seamstress guided the thread through the eye of the needle.
what was the effect?
(a) the thread went through the fabric
(b) the thread wrapped around the needle",the thread wrapped around the needle,copa,the thread went through the fabric,the thread wrapped around the needle
The soda bottle had a hole.,The soda fizzed.,The soda leaked out.,effect,,2,1,train,"the soda bottle had a hole.
what was the effect?
(a) the soda fizzed
(b) the soda leaked out",the soda leaked out,copa,the soda fizzed,the soda leaked out
The man woke up late.,He missed an appointment with the dentist.,He made an appointment with the dentist.,effect,,1,0,train,"the man woke up late.
what was the effect?
(a) he missed an appointment with the dentist
(b) he made an appointment with the dentist",he missed an appointment with the dentist,copa,he missed an appointment with the dentist,he made an appointment with the dentist
The boy rushed home for dinner.,He ate a big lunch.,His mother cooked his favorite meal.,cause,,2,1,train,"the boy rushed home for dinner.
what was the cause?
(a) he ate a big lunch
(b) his mother cooked his favorite meal",his mother cooked his favorite meal,copa,he ate a big lunch,his mother cooked his favorite meal
Everybody in the car stopped singing along.,The car radio shut off.,A deer appeared on the road.,cause,,1,0,train,"everybody in the car stopped singing along.
what was the cause?
(a) the car radio shut off
(b) a deer appeared on the road",the car radio shut off,copa,the car radio shut off,a deer appeared on the road
The driver turned on the car's headlights.,The sun went down.,He heard thunder.,cause,,1,0,train,"the driver turned on the car's headlights.
what was the cause?
(a) the sun went down
(b) he heard thunder",the sun went down,copa,the sun went down,he heard thunder
I did not clean up my house.,I was expecting company.,I was swamped with work.,cause,,2,1,train,"i did not clean up my house.
what was the cause?
(a) i was expecting company
(b) i was swamped with work",i was swamped with work,copa,i was expecting company,i was swamped with work
